Adults,Children,Plus 1?,Probability of adults coming,Probability of children coming (if parents are coming)
1,0,0,1.0,0.0
1,0,0,1.0,0.0
2,0,0,1.0,0.0
1,0,1,0.9,0.0
2,2,0,1.0,1.0
2,0,0,0.6,0.0
2,3,0,0.8,0.55
1,0,0,0.75,0.0
2,2,0,0.85,0.5
2,0,0,0.9,0.0
2,2,0,0.01,0.1
1,0,0,0.99,0.0
1,0,0,0.95,0.0
1,1,0,0.8,0.5
1,0,0,0.55,0.0
1,0,0,0.5,0.0
1,0,0,0.1,0.0
2,0,0,0.9,0.0
2,0,0,0.01,0.0
2,0,0,0.2,0.0
2,1,0,0.1,0.1
2,1,0,0.1,0.95
2,0,0,0.1,0.0
2,2,0,0.05,0.9
2,0,0,0.3,0.0
2,2,0,0.45,1.0
1,0,1,0.4,0.0
2,3,0,0.05,0.6
2,1,0,0.05,0.9
1,0,1,0.85,0.0
2,0,0,1.0,0.0
2,4,0,0.01,0.6
2,0,0,0.45,0.0
2,1,0,0.9,0.5
2,0,0,0.2,0.0
1,0,0,0.8,0.0
2,0,0,0.9,0.0
2,4,0,0.7,0.7
1,2,0,0.8,0.0
1,0,0,0.9,0.0
2,5,0,0.05,0.6
1,0,0,0.95,0.0
2,0,0,0.95,0.0
2,3,0,0.7,0.0
2,2,0,0.85,0.0
2,2,0,0.65,0.99
2,3,0,0.75,0.8
2,3,0,0.65,0.5
2,3,0,0.8,0.8
2,3,0,0.7,0.7
2,3,0,0.9,0.7
2,2,0,0.9,0.95
2,1,0,0.9,0.99
2,2,0,0.95,0.95
2,3,0,0.95,0.95
2,1,0,0.9,0.9
2,2,0,0.75,0.6
2,4,0,0.75,0.8
2,1,0,0.75,0.8
2,2,0,0.7,0.8
2,4,0,0.8,0.6
2,4,0,0.8,0.6
1,0,0,0.95,0.0
1,0,0,0.0,0.0
2,3,0,0.05,0.75
2,2,0,0.05,0.9
2,1,0,0.1,0.85
1,0,0,0.0,0.0
2,0,0,0.1,0.0
2,2,0,0.01,0.0
1,0,1,0.05,0.0
2,0,0,0.05,0.0
2,3,0,0.05,0.9
2,3,0,0.05,0.9
2,2,0,0.05,0.9
2,0,0,0.0,0.0
1,0,0,0.05,0.0
2,0,0,1.0,1.0
2,3,0,1.0,1.0
2,0,0,1.0,1.0
2,0,0,1.0,1.0
2,0,0,1.0,1.0
2,2,0,1.0,1.0
1,0,1,1.0,1.0
1,2,0,0.9,1.0
2,0,0,0.2,0.0
2,0,0,0.2,0.0
2,0,0,1.0,1.0
2,2,0,1.0,1.0
1,0,0,1.0,1.0
1,0,0,1.0,1.0
2,0,0,1.0,1.0
2,1,0,1.0,1.0
2,1,0,1.0,0.8
2,1,0,1.0,0.8
2,2,0,1.0,0.9
2,2,0,1.0,0.9
2,0,0,1.0,1.0
2,2,0,0.9,0.8
2,1,0,0.7,0.5
2,2,0,0.9,0.8
2,0,0,1.0,1.0
1,0,1,1.0,1.0
1,0,0,1.0,1.0
1,0,0,1.0,1.0
1,0,0,0.9,1.0
2,2,0,1.0,1.0
2,0,0,1.0,1.0
1,0,1,1.0,1.0
1,1,1,1.0,1.0
2,0,0,1.0,1.0
2,0,0,1.0,1.0
1,0,0,1.0,0.0
2,0,0,1.0,0.0
2,2,0,0.4,0.3
2,0,0,0.4,0.0
1,0,0,0.9,0.0
2,0,0,0.9,0.0
2,2,0,0.8,0.9
2,2,0,0.6,0.7
2,0,0,0.8,0.0
2,1,0,0.6,0.5
2,1,0,0.7,0.5
2,1,0,0.7,0.5
2,1,0,0.8,0.6
2,0,0,0.9,0.0
2,1,0,0.6,0.8
2,1,0,0.6,0.8
1,0,1,0.4,0.0
2,2,0,0.4,0.3
2,0,0,0.9,0.0
2,0,0,0.9,0.0
2,0,0,0.7,0.0
1,0,0,0.9,0.0
2,2,0,0.9,0.05
2,0,0,0.9,0.0
2,0,0,0.9,0.0
2,0,0,0.9,0.0
1,0,1,0.6,0.0
1,0,1,0.01,0.0
1,0,1,0.01,0.0
