total_adults_attending,total_kids_attending,total
172,67,239
167,71,238
161,69,230
160,71,231
166,71,237
164,79,243
162,81,243
161,71,232
163,70,233
174,72,246
164,74,238
160,62,222
169,70,239
173,78,251
168,71,239
169,67,236
180,69,249
166,67,233
171,69,240
162,67,229
174,67,241
165,60,225
171,71,242
169,73,242
161,70,231
170,79,249
166,67,233
162,69,231
178,66,244
165,72,237
169,72,241
159,64,223
167,71,238
173,66,239
166,73,239
161,70,231
173,72,245
171,69,240
168,71,239
168,79,247
171,67,238
162,71,233
170,73,243
165,69,234
168,68,236
166,72,238
170,71,241
171,73,244
164,63,227
170,71,241
164,67,231
173,69,242
161,75,236
163,66,229
163,75,238
174,80,254
172,73,245
164,72,236
167,66,233
170,66,236
160,77,237
169,70,239
173,70,243
152,70,222
163,71,234
171,65,236
157,71,228
159,76,235
159,70,229
162,69,231
175,66,241
169,69,238
172,60,232
163,66,229
167,67,234
169,78,247
177,72,249
161,66,227
164,63,227
179,76,255
177,68,245
169,69,238
163,77,240
171,67,238
176,72,248
170,62,232
164,69,233
166,70,236
172,65,237
169,72,241
173,78,251
168,72,240
161,62,223
162,78,240
167,67,234
172,74,246
169,61,230
168,72,240
172,71,243
177,71,248
168,67,235
177,73,250
161,71,232
173,69,242
170,72,242
164,75,239
176,67,243
176,75,251
165,73,238
158,65,223
160,76,236
166,68,234
165,70,235
167,72,239
164,58,222
170,73,243
167,71,238
165,67,232
176,77,253
173,71,244
161,67,228
168,71,239
170,72,242
161,57,218
175,66,241
163,72,235
167,67,234
168,66,234
165,75,240
169,62,231
178,68,246
168,68,236
173,73,246
174,68,242
168,64,232
172,67,239
170,80,250
173,78,251
166,71,237
173,68,241
172,65,237
168,79,247
161,60,221
169,77,246
168,68,236
164,67,231
172,64,236
163,69,232
169,68,237
170,71,241
176,68,244
173,82,255
168,70,238
162,69,231
165,72,237
168,70,238
165,72,237
170,67,237
168,81,249
176,68,244
161,68,229
163,67,230
161,72,233
171,68,239
171,72,243
160,61,221
168,70,238
175,72,247
169,76,245
168,64,232
174,69,243
160,69,229
166,74,240
161,70,231
171,74,245
165,76,241
170,76,246
175,76,251
164,70,234
166,77,243
162,63,225
164,72,236
176,74,250
174,73,247
180,76,256
170,60,230
177,78,255
160,62,222
165,75,240
173,72,245
164,71,235
169,73,242
168,72,240
170,69,239
170,69,239
167,73,240
172,68,240
168,84,252
167,75,242
171,77,248
161,67,228
175,66,241
164,70,234
162,69,231
167,68,235
169,81,250
166,71,237
168,67,235
171,78,249
161,69,230
164,78,242
171,72,243
177,71,248
166,70,236
167,77,244
162,71,233
163,69,232
167,74,241
175,71,246
165,71,236
175,81,256
169,66,235
173,79,252
174,72,246
168,73,241
166,77,243
173,72,245
174,69,243
174,70,244
168,77,245
176,65,241
164,73,237
171,74,245
167,74,241
159,76,235
167,73,240
169,66,235
173,70,243
171,77,248
157,67,224
165,67,232
156,66,222
169,68,237
158,72,230
171,67,238
166,67,233
169,79,248
152,65,217
179,74,253
168,65,233
182,68,250
171,67,238
161,61,222
168,68,236
166,72,238
161,72,233
179,75,254
169,72,241
168,75,243
159,65,224
169,72,241
169,72,241
161,64,225
172,73,245
171,74,245
170,74,244
165,74,239
169,80,249
175,71,246
165,62,227
170,67,237
167,76,243
172,73,245
165,70,235
173,71,244
165,75,240
179,72,251
162,64,226
167,70,237
167,68,235
165,71,236
162,62,224
172,74,246
172,70,242
167,71,238
167,73,240
163,71,234
174,73,247
166,67,233
172,73,245
165,65,230
169,72,241
167,78,245
176,83,259
168,74,242
169,71,240
167,74,241
